,A̱o,Tmax_to,Tmin_to,Prec_to
0,0,0.0,0.0,0.0
1,1985,31.98,21.8,6.72
2,1986,31.39,21.78,9.72
3,1987,31.99,23.01,9.38
4,1988,31.39,21.76,10.48
5,1989,31.04,21.76,8.28
6,1990,32.0,22.43,8.77
7,1991,31.1,21.58,10.37
8,1992,31.56,21.67,8.69
9,1993,0.0,21.44,9.47
10,1994,30.0,21.63,10.88
11,1995,31.44,21.59,9.97
12,1996,30.49,21.49,9.64
13,1997,30.98,21.62,7.48
14,1998,31.55,22.06,10.33
15,1999,30.78,21.42,10.08
16,2000,30.92,21.39,9.25
17,2001,32.01,21.75,7.58
18,2002,31.21,21.63,9.68
19,2003,31.08,21.75,9.12
20,2004,31.04,21.48,11.48
21,2005,31.14,21.51,9.31
22,2006,30.77,21.7,10.2
23,2007,31.1,21.41,8.2
24,2008,30.98,21.5,9.28
25,2009,31.33,21.32,8.58
26,2010,31.37,21.08,11.24
27,2011,30.91,20.95,7.48
28,2012,30.92,21.37,9.63
